"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"GBR",3891,2007,1884,102.1068971,-85.76821784,16.33867926
"GBR",3936,2250,1686,109.7852297,-81.89970184,27.88552786
"GBR",3919,1765,2154,78.1506311,-108.6312481,-30.480617
"GBR",3963,1916,2047,96.4901486,-93.13501354,3.35513506
"GBR",3904,1652,2252,76.2190777,-110.49251784,-34.27344014
"GBR",3829,1780,2049,86.4696256,-95.46676458,-8.99713898
"GBR",3795,1822,1973,90.953663,-92.97379154,-2.02012854
"GBR",3974,1789,2185,93.2720329,-96.09548664,-2.82345374
"GBR",3890,2203,1687,108.8200227,-78.35777318,30.46224952
"FIN",3878,2053,1825,102.5565668,-82.82445364,19.73211316
"FIN",3891,2062,1829,97.2625796,-88.32812868,8.93445092
"FIN",3936,1977,1959,99.2211893,-89.92761194,9.29357736
"FIN",3912,1776,2136,88.508339,-98.898997,-10.390658
"FIN",3877,2006,1871,95.678951,-89.65575468,6.02319632
"FIN",3891,2226,1665,108.1475067,-80.16032204,27.98718466
"FIN",3915,2141,1774,102.3419976,-85.35352894,16.98846866
"FIN",3862,2166,1696,102.1494466,-82.85301948,19.29642712
"FIN",3955,2002,1953,99.9321413,-88.98517618,10.94696512
"FIN",3890,1997,1893,98.9858806,-87.10445764,11.88142296
"FIN",3832,1698,2134,80.7686207,-106.82793534,-26.05931464
"FIN",3859,1975,1884,97.1058327,-89.29398408,7.81184862
"FIN",3879,1892,1987,98.6924005,-90.72218064,7.97021986
"FIN",3877,2168,1709,113.1463612,-76.41613388,36.73022732
"FIN",3901,2022,1879,105.5262843,-85.75713134,19.76915296
"FIN",3912,2161,1751,100.6390287,-86.73717748,13.90185122
"FIN",3769,1752,2017,78.2947004,-104.43311468,-26.13841428
"FIN",3943,2007,1936,100.8805102,-88.70039338,12.18011682
"FIN",3899,2019,1880,108.6676259,-76.80256558,31.86506032
"FIN",3899,2124,1775,107.8366526,-78.45004008,29.38661252
"FIN",3884,1999,1885,100.5256174,-87.16820868,13.35740872
"FIN",3844,1646,2198,83.1950723,-103.75480544,-20.55973314
"FIN",3797,1921,1876,96.2248039,-86.83353008,9.39127382
"FIN",3837,2085,1752,96.5646829,-85.11842784,11.44625506
"FIN",3909,2121,1788,109.9340339,-78.44339214,31.49064176
"FIN",3905,2026,1879,95.6506787,-92.96881234,2.68186636
"FIN",3833,2363,1470,113.0254641,-72.63698348,40.38848062
"FIN",3962,1949,2013,104.8800652,-87.00049384,17.87957136
"FIN",3890,2034,1856,100.2825431,-88.9540321,11.328511
"FIN",3812,1742,2070,85.1690404,-98.14231268,-12.97327228
"FIN",3800,2079,1721,109.5489862,-74.57133108,34.97765512
"FIN",3851,1812,2039,91.7178954,-92.45601108,-0.73811568
"FIN",3776,1867,1909,92.0183425,-92.16175618,-0.14341368
"FIN",4012,2150,1862,104.584449,-88.00879778,16.57565122
