"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"FIN",1307,822,485,83.90398,-48.45216,35.45182
"FIN",1358,748,610,72.38318,-62.9446,9.43858
"FIN",1262,564,698,57.19036,-69.80549,-12.61513
"FIN",1347,888,459,93.1321,-44.40413,48.72797
"FIN",1383,876,507,87.83993,-50.8302,37.00973
"FIN",1352,890,462,91.81001,-45.28664,46.52337
"FIN",1394,785,609,75.3571,-62.47142,12.88568
"FIN",1331,623,708,59.08597,-73.36585,-14.27988
"FIN",1280,532,748,54.75992,-74.18731,-19.42739
"FIN",1326,664,662,62.55347,-68.54307,-5.9896
"FIN",1337,769,568,77.83918,-56.38825,21.45093
"FIN",1327,928,399,96.37114,-38.67257,57.69857
"FIN",1325,789,536,80.83709,-52.67988,28.15721
"FIN",1324,633,691,62.90078,-69.72086,-6.82008
"FIN",1295,537,758,52.36259,-76.35049,-23.9879
"FIN",1337,730,607,74.14803,-60.51376,13.63427
"FIN",1438,1031,407,102.40628,-41.72315,60.68313
"FIN",1303,555,748,51.914,-77.18765,-25.27365
"FIN",1299,701,598,66.49342,-61.51552,4.9779
"FIN",1341,801,540,81.14684,-54.67545,26.47139
"FIN",1300,607,693,60.06863,-70.38166,-10.31303
"FIN",1305,649,656,66.68362,-65.20007,1.48355
"FIN",1376,1074,302,109.13585,-30.00482,79.13103
"FIN",1274,628,646,62.88986,-64.91137,-2.02151
"FIN",1281,474,807,45.03223,-82.1695,-37.13727
"FIN",1323,709,614,72.18322,-61.12544,11.05778
"FIN",1373,915,458,89.8237,-47.03484,42.78886
"FIN",1315,752,563,79.83467,-54.44686,25.38781
"FIN",1385,931,454,94.40282,-45.17026,49.23256
"FIN",1306,788,518,79.18616,-52.29377,26.89239
"FIN",1301,641,660,63.6059,-66.43782,-2.83192
"FIN",1339,878,461,89.55293,-46.14031,43.41262
"FIN",1378,584,794,55.27455,-80.93724,-25.66269
"FIN",1322,799,523,80.25619,-52.19508,28.06111
"FIN",1259,541,718,51.55333,-74.12817,-22.57484
"FIN",1300,696,604,68.23475,-61.75423,6.48052
"FIN",1413,868,545,86.59144,-54.72312,31.86832
"FIN",1417,1075,342,111.7176,-32.5937,79.1239
"FIN",1334,795,539,78.91452,-54.34328,24.57124
"FIN",1261,224,1037,21.29993,-104.2747,-82.97477
"FIN",1267,665,602,67.41124,-59.8493,7.56194
"FIN",1255,480,775,45.68423,-78.61646,-32.93223
"FIN",1345,616,729,57.58008,-75.21982,-17.63974
"FIN",1327,602,725,59.02301,-73.50545,-14.48244
"FIN",1341,588,753,55.79104,-77.18758,-21.39654
"FIN",1289,501,788,47.05996,-80.77094,-33.71098
"FIN",1389,826,563,83.39655,-56.20431,27.19224
"FIN",1321,764,557,75.51903,-56.94453,18.5745
"FIN",1302,785,517,77.75507,-52.77287,24.9822
"FIN",1342,770,572,78.42868,-57.24813,21.18055
"FIN",1359,545,814,52.27659,-82.56464,-30.28805
"FIN",1323,609,714,57.10797,-74.28886,-17.18089
"FIN",1256,633,623,60.82548,-64.61343,-3.78795
"FIN",1398,1003,395,104.72822,-37.78496,66.94326
"FIN",1238,491,747,47.54077,-75.85488,-28.31411
"FIN",1348,731,617,72.46348,-62.93909,9.52439
"FIN",1312,778,534,81.01018,-52.16357,28.84661
"FIN",1299,479,820,45.50218,-83.52415,-38.02197
"FIN",1311,581,730,56.82105,-73.69151,-16.87046
"FIN",1319,672,647,64.36055,-66.55214,-2.19159
"FIN",1312,826,486,86.94144,-46.36623,40.57521
"FIN",1394,1026,368,106.26028,-36.05154,70.20874
"FIN",1304,523,781,48.82708,-79.77727,-30.95019
"FIN",1318,850,468,84.56987,-47.17653,37.39334
"FIN",1364,1022,342,103.48692,-34.11734,69.36958
"FIN",1300,668,632,67.79084,-63.39819,4.39265
"FIN",1285,578,707,54.56912,-72.90833,-18.33921
"FIN",1302,742,560,73.37856,-56.80986,16.5687
"FIN",1306,552,754,52.76614,-76.59108,-23.82494
"FIN",1327,672,655,67.84041,-65.36229,2.47812
