"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"GBR",8779,4474,4305,230.601740907,-219.72033658,10.881404327
"GBR",8782,4564,4218,231.761364214,-223.16980776,8.591556454
"GBR",8821,4031,4790,188.146377444,-262.63966642,-74.493288976
"GBR",8877,4355,4522,238.889218744,-222.29141732,16.597801424
"GBR",8780,3887,4893,197.550658557,-252.12125308,-54.570594523
"GBR",8739,4421,4318,220.695011377,-224.07990552,-3.384894143
"GBR",8627,4302,4325,226.924526564,-218.47171456,8.452812004
"GBR",8899,4373,4526,225.840594477,-226.87542632,-1.034831843
"GBR",8760,5058,3702,247.053273807,-198.26862494,48.784648867
"FIN",8746,4493,4253,240.687934354,-207.26051852,33.427415834
"FIN",8719,4464,4255,219.729837344,-224.54208046,-4.812243116
"FIN",8733,4470,4263,242.230968264,-210.25391196,31.977056304
"FIN",8762,4346,4416,226.71084457,-222.01467044,4.69617413
"FIN",8826,4690,4136,243.043600127,-209.07020692,33.973393207
"FIN",8724,4668,4056,224.642092447,-217.25156514,7.390527307
"FIN",8806,4449,4357,214.251972157,-231.44648208,-17.194509923
"FIN",8847,5025,3822,264.853239044,-194.22681732,70.626421724
"FIN",8903,4679,4224,252.797227857,-204.29503028,48.502197577
"FIN",8718,4369,4349,224.127734574,-225.09596428,-0.968229706
"FIN",8564,4067,4497,196.408737014,-243.39994746,-46.991210446
"FIN",8717,4464,4253,244.948146594,-206.97750032,37.970646274
"FIN",8852,4335,4517,229.759020827,-226.63931552,3.119705307
"FIN",8777,5064,3713,268.557452274,-183.60363488,84.953817394
"FIN",8745,4639,4106,229.598338607,-221.16805298,8.430285627
"FIN",8807,4344,4463,209.322184807,-240.41467888,-31.092494073
"FIN",8657,3955,4702,198.344582114,-247.25287086,-48.908288746
"FIN",8743,4293,4450,213.044506114,-233.59533826,-20.550832146
"FIN",8755,4614,4141,246.249192964,-203.57523326,42.673959704
"FIN",8775,4818,3957,269.591135274,-184.05766448,85.533470794
"FIN",8746,4493,4253,234.305866617,-213.44306458,20.862802037
"FIN",8750,3993,4757,207.284863407,-241.47509978,-34.190236373
"FIN",8531,4170,4361,202.136338267,-234.29314518,-32.156806913
