"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"GBR",11670,6073,5597,315.237800497,-275.25177372,39.986026777
"GBR",11774,6139,5635,310.169335004,-290.7584836,19.410851404
"GBR",11693,5537,6156,261.832793144,-329.43261262,-67.599819476
"GBR",11867,5810,6057,311.412178034,-295.34856176,16.063616274
"GBR",11696,5308,6388,265.140606247,-326.23787022,-61.097263973
"GBR",11662,5823,5839,287.803884557,-297.8318732,-10.027988643
"GBR",11585,5731,5854,293.739530754,-297.059301,-3.319770246
"GBR",11931,5730,6201,294.249899567,-304.62936366,-10.379464093
"GBR",11671,6787,4884,333.365472087,-252.45482562,80.910646467
"FIN",11650,6048,5602,318.974429044,-271.60579946,47.368629584
"FIN",11653,6090,5563,296.067594724,-290.55351614,5.514078584
"FIN",11614,5877,5737,313.111717954,-282.0836784,31.028039554
"FIN",11694,5784,5910,297.46397957,-294.17591164,3.28806793
"FIN",11688,6230,5458,318.014525407,-273.1289063,44.885619107
"FIN",11581,6269,5312,301.156841637,-282.27858878,18.878252857
"FIN",11780,6100,5680,293.291922847,-299.49974392,-6.207821073
"FIN",11682,6768,4914,348.788288424,-248.5076703,100.280618124
"FIN",11866,6253,5613,330.677926637,-269.01268126,61.665245377
"FIN",11622,6052,5570,308.406470364,-283.13739372,25.269076644
"FIN",11462,5413,6049,257.723809304,-324.1061589,-66.382349596
"FIN",11649,6017,5632,320.345100874,-275.0337583,45.311342574
"FIN",11703,5858,5845,305.011297017,-292.32092436,12.690372657
"FIN",11730,6708,5022,351.258934654,-244.58913286,106.669801794
"FIN",11629,6281,5348,315.626883697,-276.43879042,39.188093277
"FIN",11762,6042,5720,291.047171987,-302.21778656,-11.170614573
"FIN",11574,5385,6189,262.473107994,-324.62574384,-62.152635846
"FIN",11638,5874,5764,293.068132994,-294.29765764,-1.229524646
"FIN",11722,6068,5654,322.968353744,-270.73842224,52.229931504
"FIN",11670,6428,5242,350.301197154,-243.27577056,107.025426594
"FIN",11757,6076,5681,313.295342897,-280.99220746,32.303135437
"FIN",11665,5333,6332,275.122934497,-316.64790422,-41.524969723
"FIN",11482,5725,5757,279.811217947,-299.68932636,-19.878108413
"FIN",11783,6423,5360,318.739272777,-278.12652338,40.612749397
"FIN",11834,6651,5183,371.901738304,-235.6449164,136.256821904
"FIN",11734,6046,5688,292.877278104,-301.7393387,-8.862060596
"FIN",11680,6541,5139,317.005837854,-272.45920536,44.546632494
"FIN",11831,6104,5727,332.185298497,-271.07720972,61.108088777
"FIN",11616,6209,5407,309.736143244,-279.98482422,29.751319024
"FIN",11609,5271,6338,274.957597194,-313.21655604,-38.258958846
"FIN",11704,6337,5367,351.350316894,-245.60516554,105.745151354
"FIN",11696,5552,6144,285.738858724,-302.5377594,-16.798900676
"FIN",11455,5802,5653,285.675650094,-295.52954374,-9.853893646
"FIN",11830,6127,5703,309.759395324,-289.8054853,19.953910024
"FIN",11671,6575,5096,351.541008414,-241.76520112,109.775807294
"FIN",11870,6087,5783,306.930219764,-292.62787592,14.302343844
"FIN",11795,5995,5800,325.673214984,-273.93996676,51.733248224
"FIN",11715,6492,5223,328.258516644,-263.08508254,65.173434104
"FIN",11687,5877,5810,303.479353717,-288.76574466,14.713609057
"FIN",11699,6359,5340,334.775071767,-262.14698306,72.628088707
"FIN",11839,5593,6246,270.476307464,-326.33969192,-55.863384456
"FIN",11624,5635,5989,290.567621094,-300.62177254,-10.054151446
"FIN",11601,6149,5452,294.516642074,-288.6836757,5.832966374
"FIN",11675,6385,5290,320.679642307,-268.78154952,51.898092787
"FIN",11893,6173,5720,321.582350534,-281.02732326,40.555027274
"FIN",11734,7033,4701,381.462049114,-224.17208922,157.289959894
"FIN",11621,5740,5881,309.546707744,-280.52403046,29.022677284
"FIN",11651,5559,6092,242.829907524,-340.5179991,-97.688091576
"FIN",11697,6113,5584,296.816689744,-292.71216564,4.104524104
"FIN",11679,5606,6073,275.640310944,-309.85061654,-34.210305596
"FIN",11887,5499,6388,276.531256537,-322.21003856,-45.678782023
"FIN",11661,5847,5814,283.365139954,-306.66979714,-23.304657186
"FIN",11973,5731,6242,280.121098324,-323.7717635,-43.650665176
