"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"PUR",245,118,127,5.39492,-5.64109,-0.24617
"PUR",221,99,122,4.5729,-5.41856,-0.84566
"PUR",218,97,121,4.3508,-5.33244,-0.98164
"PUR",223,107,116,4.85014,-5.13691,-0.28677
"PUR",204,99,105,4.41036,-4.52852,-0.11816
"PUR",216,94,122,4.2844,-5.35708,-1.07268
"PUR",230,100,130,4.48741,-5.58202,-1.09461
"PUR",232,105,127,4.75588,-5.52993,-0.77405
"PUR",240,112,128,5.23087,-5.62283,-0.39196
"CLM",211,97,114,4.41122,-4.97836,-0.56714
"CLM",240,108,132,4.79657,-5.71773,-0.92116
"CLM",219,100,119,4.52987,-5.23463,-0.70476
"CLM",222,106,116,4.70007,-5.00039,-0.30032
"CLM",210,96,114,4.43574,-5.16296,-0.72722
"CLM",217,102,115,4.61129,-5.07646,-0.46517
"CLM",235,110,125,4.97782,-5.4539,-0.47608
"CLM",223,102,121,4.64476,-5.36611,-0.72135
"CLM",226,101,125,4.64188,-5.54982,-0.90794
"CLM",219,94,125,4.35983,-5.39227,-1.03244
"CLM",221,100,121,4.73841,-5.23733,-0.49892
"CLM",215,102,113,4.53511,-4.98636,-0.45125
"CLM",208,102,106,4.67351,-4.64828,0.02523
"CLM",224,113,111,5.16505,-4.92745,0.2376
"CLM",207,87,120,3.79172,-5.27811,-1.48639
"CLM",200,90,110,4.09209,-4.8723,-0.78021
"CLM",228,112,116,4.96825,-5.11578,-0.14753
"CLM",234,104,130,4.85572,-5.85151,-0.99579
"CLM",225,99,126,4.43927,-5.55881,-1.11954
"CLM",215,100,115,4.55224,-5.07696,-0.52472
"CLM",210,104,106,4.73914,-4.72181,0.01733
"CLM",221,104,117,4.66192,-5.071,-0.40908
"CLM",234,110,124,4.96337,-5.53615,-0.57278
"CLM",229,112,117,5.14239,-5.14324,-0.000850000000000031
