"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"FIN",62,34,28,1.43306,-1.22287,0.21019
"FIN",71,34,37,1.37462,-1.56839,-0.19377
"FIN",63,35,28,1.46515,-1.20988,0.25527
"FIN",70,39,31,1.66082,-1.31576,0.34506
"FIN",58,30,28,1.26797,-1.30267,-0.0347000000000001
"FIN",56,30,26,1.27783,-1.23131,0.04652
"FIN",62,31,31,1.34522,-1.37833,-0.0331100000000001
"FIN",62,33,29,1.4496,-1.28694,0.16266
"FIN",58,31,27,1.23953,-1.16572,0.07381
"FIN",64,34,30,1.45337,-1.31106,0.14231
"FIN",60,28,32,1.19534,-1.40611,-0.21077
"FIN",65,31,34,1.29455,-1.47269,-0.17814
"FIN",53,25,28,1.1241,-1.28269,-0.15859
"FIN",61,34,27,1.40345,-1.19135,0.2121
"FIN",56,30,26,1.23613,-1.14975,0.08638
"FIN",70,36,34,1.58391,-1.52607,0.05784
"FIN",64,29,35,1.26296,-1.48399,-0.22103
"FIN",59,29,30,1.20233,-1.34729,-0.14496
"FIN",57,28,29,1.13743,-1.28372,-0.14629
"FIN",54,27,27,1.12619,-1.18601,-0.05982
"FIN",55,27,28,1.14947,-1.26238,-0.11291
"FIN",66,39,27,1.64712,-1.21546,0.43166
"FIN",62,31,31,1.31644,-1.33525,-0.01881
"FIN",58,31,27,1.28972,-1.1609,0.12882
"FIN",66,34,32,1.44317,-1.39429,0.04888
"FIN",61,30,31,1.28916,-1.31732,-0.0281600000000001
"FIN",66,34,32,1.45894,-1.42201,0.03693
"FIN",53,27,26,1.15293,-1.21749,-0.06456
"FIN",60,28,32,1.20827,-1.40723,-0.19896
"FIN",63,34,29,1.45674,-1.29274,0.164
"FIN",64,32,32,1.41123,-1.38063,0.0306
"FIN",64,34,30,1.50045,-1.3145,0.18595
"FIN",62,30,32,1.2629,-1.4192,-0.1563
"FIN",57,29,28,1.18872,-1.25753,-0.06881
"FIN",62,28,34,1.20126,-1.52087,-0.31961
"FIN",64,34,30,1.41908,-1.2759,0.14318
"FIN",67,35,32,1.58151,-1.4118,0.16971
"FIN",64,34,30,1.41775,-1.35589,0.0618599999999999
"FIN",59,32,27,1.39036,-1.24907,0.14129
"FIN",60,30,30,1.2471,-1.37663,-0.12953
"FIN",63,27,36,1.12484,-1.53527,-0.41043
"FIN",57,28,29,1.15075,-1.32239,-0.17164
"FIN",68,34,34,1.37753,-1.45759,-0.08006
"FIN",58,23,35,1.00718,-1.58062,-0.57344
"FIN",49,25,24,1.09877,-1.12212,-0.02335
"FIN",64,33,31,1.32859,-1.37314,-0.04455
"FIN",58,27,31,1.15422,-1.39396,-0.23974
"FIN",66,43,23,1.7618,-1.03529,0.72651
"FIN",60,26,34,1.13988,-1.49573,-0.35585
"FIN",63,33,30,1.40143,-1.33981,0.06162
"FIN",51,24,27,0.97285,-1.2379,-0.26505
"FIN",60,33,27,1.43796,-1.25634,0.18162
"FIN",58,31,27,1.23995,-1.20965,0.0303
"FIN",62,29,33,1.25524,-1.39979,-0.14455
"FIN",62,34,28,1.45478,-1.27703,0.17775
"FIN",60,32,28,1.31326,-1.22448,0.0887799999999999
"FIN",71,35,36,1.49961,-1.56341,-0.0638000000000001
"FIN",60,33,27,1.37564,-1.1883,0.18734
"FIN",65,35,30,1.46766,-1.39697,0.07069
"FIN",57,28,29,1.18062,-1.33279,-0.15217
"FIN",61,30,31,1.31261,-1.34434,-0.03173
"FIN",66,32,34,1.35662,-1.50436,-0.14774
"FIN",63,35,28,1.5144,-1.20261,0.31179
"FIN",63,34,29,1.47435,-1.31429,0.16006
"FIN",61,27,34,1.13019,-1.58258,-0.45239
"FIN",55,27,28,1.14262,-1.24978,-0.10716
"FIN",62,28,34,1.19577,-1.49979,-0.30402
"FIN",62,30,32,1.27927,-1.46182,-0.18255
"FIN",55,29,26,1.28743,-1.11097,0.17646
"FIN",62,30,32,1.18291,-1.48211,-0.2992
"FIN",73,42,31,1.78245,-1.34917,0.43328
"FIN",53,28,25,1.18572,-1.13281,0.05291
"FIN",63,30,33,1.29563,-1.4591,-0.16347
"FIN",60,30,30,1.34702,-1.2983,0.04872
"FIN",61,31,30,1.36407,-1.28472,0.07935
"CHS",51,23,28,1.0256,-1.20737,-0.18177
"CHS",61,25,36,1.07755,-1.56318,-0.48563
"CHS",61,29,32,1.20456,-1.41365,-0.20909
"CHS",58,24,34,1.05576,-1.52967,-0.47391
"CHS",60,30,30,1.26147,-1.34602,-0.0845500000000001
"CHS",59,27,32,1.14703,-1.4063,-0.25927
"CHS",55,23,32,0.94889,-1.38609,-0.4372
"CHS",62,27,35,1.20256,-1.4544,-0.25184
"CHS",54,26,28,1.11226,-1.22212,-0.10986
"CHS",59,26,33,1.10059,-1.44449,-0.3439
"CHS",59,27,32,1.12593,-1.34731,-0.22138
"CHS",63,29,34,1.26899,-1.45453,-0.18554
"CHS",57,26,31,1.14965,-1.31336,-0.16371
"CHS",57,25,32,1.09915,-1.45182,-0.35267
"CHS",60,29,31,1.25597,-1.33026,-0.07429
"CHS",51,22,29,0.94749,-1.24988,-0.30239
"CHS",60,26,34,1.16639,-1.48624,-0.31985
"CHS",59,26,33,1.07499,-1.41545,-0.34046
"CHS",58,30,28,1.24752,-1.25754,-0.01002
"CHS",57,30,27,1.31996,-1.19557,0.12439
"CHS",57,26,31,1.09065,-1.35726,-0.26661
"CHS",55,25,30,1.0828,-1.29591,-0.21311
"CHS",60,28,32,1.16703,-1.36213,-0.1951
"CHS",54,25,29,1.07503,-1.28329,-0.20826
"CHS",62,33,29,1.39761,-1.25522,0.14239
"CHS",50,25,25,1.1121,-1.13426,-0.02216
"CHS",59,27,32,1.1388,-1.38236,-0.24356
"CHS",62,30,32,1.28475,-1.42418,-0.13943
"CHS",65,29,36,1.20831,-1.57409,-0.36578
"CHS",52,20,32,0.87277,-1.38356,-0.51079
"CHS",54,26,28,1.12467,-1.24637,-0.1217
"CHS",66,31,35,1.31348,-1.54209,-0.22861
"CHS",57,22,35,0.98197,-1.58761,-0.60564
"CHS",64,27,37,1.14598,-1.59624,-0.45026
"CHS",61,31,30,1.30737,-1.26901,0.03836
"CHS",58,27,31,1.17957,-1.33729,-0.15772
"CHS",57,25,32,1.07283,-1.42322,-0.35039
"CHS",52,21,31,0.87707,-1.37149,-0.49442
"CHS",61,28,33,1.19909,-1.45283,-0.25374
"CHS",58,26,32,1.07341,-1.41502,-0.34161
"CHS",56,26,30,1.10153,-1.25526,-0.15373
"CHS",53,24,29,1.06739,-1.29881,-0.23142
"PUR",65,34,31,1.45469,-1.37976,0.07493
"PUR",56,26,30,1.17166,-1.33483,-0.16317
"PUR",59,25,34,1.07347,-1.55703,-0.48356
"CHS",57,27,30,1.17895,-1.32194,-0.14299
"CHS",56,27,29,1.1382,-1.2824,-0.1442
"CHS",63,29,34,1.2607,-1.51796,-0.25726
"CHS",63,26,37,1.09872,-1.64662,-0.5479
"CHS",59,25,34,1.11122,-1.52283,-0.41161
"CHS",65,32,33,1.39957,-1.44867,-0.0491
"CHS",64,30,34,1.29785,-1.53424,-0.23639
"CHS",67,29,38,1.2587,-1.62253,-0.36383
"CHS",66,27,39,1.18656,-1.6864,-0.49984
"CHS",58,26,32,1.15969,-1.37001,-0.21032
"CHS",57,30,27,1.27388,-1.16824,0.10564
"CHS",59,29,30,1.22327,-1.29901,-0.07574
"CHS",61,25,36,1.10738,-1.56,-0.45262
"CHS",52,25,27,1.08686,-1.22323,-0.13637
"CHS",49,24,25,1.06368,-1.10166,-0.0379800000000001
"CHS",56,26,30,1.1588,-1.31928,-0.16048
"CHS",63,27,36,1.13225,-1.60745,-0.4752
"CHS",60,26,34,1.07688,-1.50232,-0.42544
"CHS",71,31,40,1.27517,-1.7084,-0.43323
"CHS",55,25,30,1.0575,-1.28134,-0.22384
"CHS",58,25,33,1.04289,-1.4279,-0.38501
"CHS",52,19,33,0.80618,-1.4176,-0.61142
"CHS",55,24,31,1.03385,-1.37127,-0.33742
"CHS",54,23,31,0.93178,-1.38189,-0.45011
"CHS",63,29,34,1.26238,-1.46776,-0.20538
"CHS",65,32,33,1.37598,-1.38515,-0.00917000000000003
"CHS",54,23,31,0.97144,-1.35983,-0.38839
"CHS",61,27,34,1.17956,-1.49043,-0.31087
"CHS",68,35,33,1.48811,-1.40285,0.08526
"CHS",57,26,31,1.06943,-1.35196,-0.28253
"CHS",57,23,34,0.95844,-1.5006,-0.54216
"CHS",54,23,31,0.99729,-1.34974,-0.35245
"CHS",56,22,34,0.9876,-1.54995,-0.56235
"CHS",58,28,30,1.19737,-1.28515,-0.0877800000000001
"CHS",62,28,34,1.17848,-1.47001,-0.29153
"PUR",69,34,35,1.41789,-1.59336,-0.17547
"PUR",67,35,32,1.52612,-1.3907,0.13542
"PUR",65,32,33,1.39322,-1.48723,-0.09401
"PUR",55,29,26,1.2236,-1.19374,0.02986
"CHS",53,28,25,1.19532,-1.08668,0.10864
"CHS",58,27,31,1.16745,-1.36414,-0.19669
"CHS",62,29,33,1.23179,-1.45824,-0.22645
"CHS",55,26,29,1.08087,-1.31126,-0.23039
"CHS",62,29,33,1.23795,-1.41325,-0.1753
"CHS",60,25,35,1.11491,-1.53972,-0.42481
"CHS",57,28,29,1.22534,-1.28574,-0.0604
"CHS",64,29,35,1.24425,-1.53086,-0.28661
"CHS",60,30,30,1.30785,-1.32114,-0.0132900000000001
"CHS",56,22,34,0.93355,-1.45302,-0.51947
"CHS",52,20,32,0.91888,-1.4017,-0.48282
"CHS",58,23,35,1.02796,-1.49812,-0.47016
"CHS",45,18,27,0.78511,-1.2588,-0.47369
"CHS",54,24,30,1.08555,-1.33885,-0.2533
"CHS",64,31,33,1.30396,-1.4262,-0.12224
"CHS",65,32,33,1.40088,-1.47411,-0.0732300000000001
"CHS",60,23,37,1.01988,-1.60884,-0.58896
"CHS",63,28,35,1.18668,-1.5286,-0.34192
"CHS",63,28,35,1.20099,-1.60601,-0.40502
"CHS",61,28,33,1.22655,-1.44058,-0.21403
"CHS",53,25,28,1.11,-1.18076,-0.07076
"CHS",54,26,28,1.15199,-1.20833,-0.05634
"CHS",60,25,35,1.11021,-1.54529,-0.43508
"CHS",58,21,37,0.93449,-1.63126,-0.69677
"CHS",60,28,32,1.2309,-1.34998,-0.11908
"CHS",63,28,35,1.22161,-1.51337,-0.29176
"CHS",52,26,26,1.17336,-1.15591,0.01745
"CHS",60,24,36,1.04767,-1.53035,-0.48268
"PUR",62,28,34,1.25558,-1.52882,-0.27324
"PUR",63,28,35,1.20518,-1.52255,-0.31737
"PUR",61,29,32,1.23619,-1.37524,-0.13905
"PUR",65,31,34,1.29343,-1.48127,-0.18784
"PUR",60,27,33,1.14579,-1.49427,-0.34848
"PUR",61,28,33,1.18587,-1.50136,-0.31549
"PUR",65,26,39,1.09512,-1.7235,-0.62838
"PUR",57,29,28,1.26779,-1.29418,-0.02639
"PUR",53,33,20,1.34461,-0.88593,0.45868
"CDX",59,27,32,1.18933,-1.39369,-0.20436
